t,segment,window_sec,rpm_avg_10s,cur_avg_10s,dpps_avg_10s,cpr_avg_10s,rpm_avg_all,cur_avg_all,dpps_avg_all,cpr_avg_all,n_all,duration_sec,data_ok
1772005633.7828977,straight,10.0,-325.9238539238545,3.730769293106335,-22376.113604839233,3129.004043085465,-15.122376669392132,-0.07688741165403871,-1042.140451835389,2983.7705977165906,1223,28.02401892900002,1
1772005633.7830732,stop,10.0,-1.3049645390070879,0.028368794326241134,-443.2114463861572,11323.042880953435,-0.32419127988748186,0.0014767932657115735,-79.94654277337989,6316.183881990986,474,33.03910529599989,1
1772005633.7831995,other,10.0,54.90666666666665,-0.7626666720708211,4768.325797041658,4394.090154706626,83.3840579710145,-1.125362335771754,3326.900005841492,3204.3126793603487,46,27.024565618999986,1
1772005634.8026495,straight,10.0,-248.73970473970448,2.868065315804562,-18099.901178854565,3336.392137399751,-6.246991104133892,-0.1862113866613846,-272.4173302966828,3012.117256811938,1274,29.043744436999987,1
1772005634.8028224,stop,10.0,-1.3049645390070879,0.028368794326241134,-443.2114463861572,11323.042880953435,-0.32419127988748186,0.0014767932657115735,-79.94654277337989,6316.183881990986,474,33.03910529599989,1
1772005634.8029466,other,10.0,54.90666666666665,-0.7626666720708211,4768.325797041658,4394.090154706626,83.3840579710145,-1.125362335771754,3326.900005841492,3204.3126793603487,46,27.024565618999986,1
1772005635.8220553,straight,10.0,-171.38772338772344,1.9283605632433716,-10944.227384435315,3185.8035887724177,2.239496855345977,-0.29597482420363014,320.50572187955373,3008.53167889566,1325,30.063164496000127,1
1772005635.8222294,stop,10.0,-1.3049645390070879,0.028368794326241134,-443.2114463861572,11323.042880953435,-0.32419127988748186,0.0014767932657115735,-79.94654277337989,6316.183881990986,474,33.03910529599989,1
1772005635.822355,other,10.0,54.90666666666665,-0.7626666720708211,4768.325797041658,4394.090154706626,83.3840579710145,-1.125362335771754,3326.900005841492,3204.3126793603487,46,27.024565618999986,1
1772005636.8412678,straight,10.0,-92.14918414918381,0.9529137779967947,-7133.575479478697,3155.39104937898,11.99685077519386,-0.42172963403222635,754.7910267477953,2967.242236317293,1376,31.082329698999956,1
